t,q_S,q_P_at_S,q_F,flag_S,flag_F,S_h,S_xi_p,S_iota_p,S_xi_w,S_iota_w,S_kappa,S_psi_u,S_m_d,S_m_f,S_varphi,F_h,F_xi_p,F_iota_p,F_xi_w,F_iota_w,F_kappa,F_psi_u,F_m_d,F_m_f,F_varphi
-0.1,0.0011408991,0.015479457,0.01570958,2,2,0.69874588,0.93315166,0.95884336,0.79767625,0.4,2.5765481,0.5,0.55,0.73195889,0.13185403,0.7131101,0.9356749,0.97250924,0.80464934,0.4,2.5123513,0.5,0.55,0.774828,0.15636086
-0.09,0.00086292921,0.012413828,0.012604368,2,2,0.70243272,0.93304003,0.96038836,0.79360322,0.4,2.7849768,0.5,0.56,0.73122523,0.14378111,0.71432573,0.93520364,0.97215354,0.79915076,0.4,2.7237975,0.5,0.56,0.7676936,0.16736262
-0.08,0.00062517546,0.0096963845,0.0098433308,2,2,0.7058437,0.93293211,0.96192818,0.78938624,0.4,3.017154,0.5,0.57,0.73010101,0.1572392,0.7155039,0.93474973,0.97187138,0.79329948,0.4,2.9599757,0.5,0.57,0.76018443,0.17984914
-0.07,0.00042769771,0.0073235732,0.00742776,2,2,0.7090053,0.93283107,0.96346027,0.78508805,0.4,3.2768957,0.5,0.58,0.72864136,0.17253089,0.71665308,0.9343156,0.97167264,0.78707632,0.4,3.2249879,0.5,0.58,0.75227051,0.19416088
-0.06,0.000270375,0.0052926498,0.0053584486,3,2,0.71193657,0.9327388,0.96497888,0.7807279,0.40000015,3.5689246,0.5,0.59,0.72684304,0.19005925,0.71778079,0.93390306,0.97156535,0.78045822,0.4,3.5238589,0.5,0.59,0.74390597,0.21074857
-0.05,0.00015275383,0.0036081327,0.0036356589,2,2,0.71497239,0.93172412,0.96517288,0.76506532,0.64334795,3.8935415,0.5,0.6,0.71893699,0.25945478,0.71889555,0.93351432,0.97155395,0.77347737,0.4,3.8627565,0.5,0.6,0.73508553,0.23017133
-0.04,0.00026445447,0.0025037445,0.002677424,2,2,0.74077029,0.87235644,0.89181304,0.87770339,0.98,3.8161342,0.5,0.61,0.67406003,0.47864719,0.74146967,0.88112976,0.9016972,0.88650592,0.91060014,3.8233008,0.5,0.61,0.70400136,0.3232145
-0.03,0.00014441813,0.0014188,0.0015071337,2,2,0.74335073,0.86660615,0.89234225,0.8787177,0.98,4.1595489,0.5,0.62,0.66336399,0.59661682,0.7443499,0.87233859,0.89906308,0.89055804,0.90882261,4.1559939,0.5,0.62,0.6890622,0.36211369
-0.02,6.0977256e-05,0.00064122905,0.0006697347,2,2,0.74550685,0.86162572,0.89409082,0.87947912,0.98,4.5534743,0.5,0.63,0.6540904,0.77529553,0.74659827,0.86448172,0.89822362,0.89415856,0.90470646,4.5406009,0.5,0.63,0.6755642,0.39965615
-0.01,1.3794093e-05,0.00017292853,0.00016729837,3,3,0.74736681,0.85713033,0.89672305,0.88017936,0.98,5.0066967,0.5,0.64,0.64574448,1.0824426,0.74844908,0.85707682,0.89861112,0.89735752,0.90127825,4.9846445,0.5,0.64,0.662671,0.44221215
-0.005,3.3651519e-06,4.6709964e-05,4.1798615e-05,3,3,0.74853587,0.85411736,0.89821191,0.88652273,0.95282108,5.249802,0.5,0.645,0.64555063,0.88132443,0.74925812,0.85349708,0.89918829,0.898761,0.90031187,5.2325028,0.5,0.645,0.65632051,0.46829381
0.005,3.3487908e-06,4.6497819e-05,4.1729611e-05,3,3,0.75135681,0.84580058,0.90231897,0.91344274,0.85615633,5.7699401,0.5,0.655,0.65455462,0.30772032,0.75068095,0.8465947,0.90103631,0.90104848,0.90041946,5.7893026,0.5,0.655,0.64369619,0.5401596
0.01,1.3352537e-05,0.0001856789,0.0001667472,3,3,0.75261981,0.84148064,0.90520825,0.92716928,0.81987686,6.0615466,0.5,0.66,0.65924549,0.1916335,0.75130647,0.84329733,0.90229089,0.90188471,0.90160759,6.102916,0.5,0.66,0.63741173,0.59297059
0.02,5.3014682e-05,0.00074203932,0.00066536029,2,3,0.75490392,0.83236689,0.91300647,0.9580683,0.76574365,6.7192328,0.5,0.67,0.66914336,0.057504861,0.75241348,0.83710769,0.90543995,0.90288091,0.9062392,6.8150591,0.5,0.67,0.62498825,0.76732262
0.03,0.00012048852,0.0015576558,0.001492662,3,2,0.75616486,0.82591053,0.91986449,0.96290714,0.77423687,7.5366043,0.5,0.68,0.66670246,0.05,0.75337098,0.83157188,0.90942206,0.90308188,0.91329631,7.6651514,0.5,0.68,0.61305472,1.1632199
0.04,0.00021795804,0.0026783494,0.0026446639,2,2,0.75724987,0.81962471,0.92750041,0.9650109,0.78731917,8.521259,0.5,0.69,0.66370596,0.05,0.75423622,0.82671846,0.9141932,0.90288283,0.92145378,8.6916456,0.5,0.69,0.60209986,2.5512068
0.05,0.002045629,0.0039283812,0.0059097861,2,2,0.76886692,0.76283329,0.98,0.97418233,0.87913076,9.0,0.5,0.7,0.58818986,0.05,0.76831944,0.75693784,0.98,0.96266236,0.89789694,9.0,0.5,0.7,0.55782823,0.1177384
0.06,0.02631835,0.0057677926,0.032056305,2,2,0.78919556,0.7354442,0.98,0.97147959,0.87423721,9.0,0.5,0.71,0.47676742,0.05,0.78864624,0.73452318,0.98,0.97144326,0.87467556,9.0,0.5,0.71,0.47223053,0.05
0.07,0.077863758,0.0082832137,0.085914713,2,2,0.80999257,0.73934177,0.98,0.93466004,0.89627115,9.0,0.5,0.72,0.4,0.60739849,0.80933267,0.73144745,0.98,0.95715986,0.86456728,9.0,0.5,0.72,0.41449621,0.10615952
0.08,0.15107738,0.010907793,0.16185384,2,2,0.83123835,0.75420772,0.98,0.92178348,0.88065569,9.0,0.5,0.73,0.4,3.0,0.8306367,0.74675644,0.98,0.93406753,0.86031751,9.0,0.5,0.73,0.4,0.41040786
0.09,0.23593939,0.013481445,0.2493945,2,2,0.85303166,0.76461642,0.98,0.91670257,0.84790834,9.0,0.5,0.74,0.4,3.0,0.85260754,0.76411411,0.98,0.9169527,0.84916249,9.0,0.5,0.74,0.4,3.0
0.1,0.31702688,0.016039888,0.33304574,2,2,0.87541389,0.77504447,0.98,0.9117039,0.81301802,9.0,0.5,0.75,0.4,3.0,0.87505649,0.77455729,0.98,0.91194785,0.81436939,9.0,0.5,0.75,0.4,3.0
