t,row,variable,horizon,scalar_baseline,scalar_refit,omitted_baseline,omitted_refit
-0.1,1,inflation,0,-0.0008442299,-0.00086626414,-7.0900717e-05,-6.7471945e-05
-0.1,2,inflation,1,-0.0019102688,-0.0019270593,-0.00012318802,-0.00012394687
-0.1,3,inflation,2,-0.0031034176,-0.0031072733,-0.00013942865,-0.00015229032
-0.1,4,inflation,3,-0.0043365062,-0.0043292203,-0.0001187518,-0.00014767501
-0.1,5,inflation,4,-0.0055338272,-0.0055203126,-6.9516213e-05,-0.00011387098
-0.1,6,inflation,5,-0.0066310789,-0.0066165038,-1.1739661e-06,-5.7832537e-05
-0.1,7,inflation,6,-0.0075767448,-0.0075651712,7.7118324e-05,1.2328188e-05
-0.1,8,inflation,7,-0.0083330029,-0.0083269734,0.00015748857,8.877324e-05
-0.1,9,inflation,8,-0.0088769461,-0.0088773116,0.00023414463,0.00016501808
-0.1,10,inflation,9,-0.0092027032,-0.0092077395,0.00030336928,0.00023630891
-0.1,11,inflation,10,-0.0093163745,-0.009322654,0.00036295835,0.00029944512
-0.1,12,inflation,11,-0.0092319883,-0.0092357503,0.00041178829,0.000352507
-0.1,13,inflation,12,-0.0089685645,-0.0089669478,0.00044950314,0.0003945811
-0.1,14,inflation,13,-0.0085479763,-0.0085398723,0.00047628567,0.00042551134
-0.1,15,inflation,14,-0.007993395,-0.0079798817,0.00049268831,0.00044568677
-0.1,16,inflation,15,-0.0073281654,-0.0073125781,0.00049950771,0.00045586802
-0.1,17,inflation,16,-0.0065750039,-0.0065627314,0.00049769106,0.00045704991
-0.1,18,inflation,17,-0.0057554396,-0.0057535394,0.00048826633,0.00045035556
-0.1,19,inflation,18,-0.0048894397,-0.0049061539,0.00047229037,0.00043695702
-0.1,20,inflation,19,-0.0039951758,-0.0040394131,0.00045081075,0.00041801759
-0.1,21,output,0,-0.011924095,-0.011608543,-0.002990562,-0.0043050756
-0.1,22,output,1,-0.021817975,-0.021723164,-0.0031494766,-0.0045982741
-0.1,23,output,2,-0.02884192,-0.028867361,-0.0021418896,-0.0033091831
-0.1,24,output,3,-0.033280443,-0.033335226,-0.00075944077,-0.0014838531
-0.1,25,output,4,-0.035583364,-0.035698211,0.00035974867,-5.9186669e-05
-0.1,26,output,5,-0.036023415,-0.036223502,0.0011905305,0.00098396715
-0.1,27,output,6,-0.034889547,-0.035196384,0.0017223372,0.0016534043
-0.1,28,output,7,-0.032433024,-0.032816963,0.0019700106,0.0019666763
-0.1,29,output,8,-0.028854089,-0.029116848,0.0020028293,0.0020139542
-0.1,30,output,9,-0.024796581,-0.024903415,0.0019082912,0.0019139894
-0.1,31,output,10,-0.020660446,-0.020643675,0.0017430027,0.0017385882
-0.1,32,output,11,-0.016686373,-0.016596908,0.0015432786,0.0015306373
-0.1,33,output,12,-0.013011414,-0.012896505,0.001332094,0.0013152517
-0.1,34,output,13,-0.0097056109,-0.0096004212,0.0011236568,0.0011066677
-0.1,35,output,14,-0.0067961447,-0.006722201,0.00092642367,0.00091250372
-0.1,36,output,15,-0.0042832684,-0.0042500064,0.00074509389,0.00073638911
-0.1,37,output,16,-0.0021508133,-0.0021582174,0.00058192958,0.00057958324
-0.1,38,output,17,-0.00037309978,-0.00041445467,0.00043763139,0.0004419691
-0.1,39,output,18,0.0010805392,0.0010162216,0.00031191919,0.00032265998
-0.1,40,output,19,0.0022428202,0.0021688464,0.00020391676,0.00022036746
