t angle
2.001583333333333258e+03 4.579705156022308898e+01
2.001750000000000000e+03 4.799811234559160766e+01
2.001833333333333258e+03 4.471183855509741534e+01
2.001916666666666742e+03 4.296541130316953883e+01
2.002000000000000000e+03 4.133368767095772967e+01
2.002166666666666742e+03 4.003856526829346762e+01
2.002333333333333258e+03 3.867966132327392614e+01
2.002583333333333258e+03 4.237570533474536205e+01
2.002833333333333258e+03 4.410188253086948151e+01
2.003000000000000000e+03 4.410324817713139112e+01
2.003333333333333258e+03 4.686570092476839733e+01
2.003416666666666742e+03 4.381146492196984354e+01
2.003583333333333258e+03 4.396059567963134640e+01
2.003750000000000000e+03 4.472788789633997908e+01
2.004000000000000000e+03 4.597404825609907419e+01
2.004166666666666742e+03 4.626412060705030171e+01
2.004416666666666742e+03 4.654940100895682775e+01
2.004583333333333258e+03 4.593408674150399662e+01
2.004666666666666742e+03 4.739010551005496552e+01
2.004833333333333258e+03 4.745120360300560236e+01
2.004916666666666742e+03 4.829623467670464976e+01
2.005166666666666742e+03 4.900990572862062322e+01
2.005333333333333258e+03 4.912896252762097760e+01
2.005416666666666742e+03 4.952829197504504322e+01
2.005583333333333258e+03 4.940454970434405624e+01
2.005666666666666742e+03 4.758401446115529865e+01
2.005833333333333258e+03 4.758992662193099932e+01
2.005916666666666742e+03 4.636397822446486572e+01
2.006000000000000000e+03 4.696285286195647757e+01
2.006166666666666742e+03 4.461600667981380752e+01
2.006333333333333258e+03 4.595076725286737229e+01
2.006416666666666742e+03 4.558040676246764633e+01
2.006583333333333258e+03 4.621360723364976764e+01
2.006666666666666742e+03 4.631920775468475426e+01
2.006916666666666742e+03 4.624426176249426845e+01
2.007166666666666742e+03 4.642818396394265079e+01
2.007333333333333258e+03 4.674163418171432482e+01
2.007666666666666742e+03 4.003025530705563995e+01
2.007750000000000000e+03 4.263668646074648905e+01
2.007916666666666742e+03 4.326476501650095230e+01
2.008166666666666742e+03 4.203029787471118794e+01
2.008250000000000000e+03 4.171486012159751766e+01
2.008416666666666742e+03 4.534283912539141426e+01
2.008583333333333258e+03 4.496403366827370007e+01
2.008666666666666742e+03 4.292954229146310752e+01
2.012291666666666742e+03 nan
2.015916666666666742e+03 4.264208104449367909e+01
2.016000000000000000e+03 4.257231322608367208e+01
2.016166666666666742e+03 4.062226892098792064e+01
2.016416666666666742e+03 3.959858514839267229e+01
2.016666666666666742e+03 3.926240938868875219e+01
2.016916666666666742e+03 3.689971182874727162e+01
2.017083333333333258e+03 3.991473250876727263e+01
2.017166666666666742e+03 4.037608439158233153e+01
2.017333333333333258e+03 3.955462875863809558e+01
2.017416666666666742e+03 3.698501427060460145e+01
2.017500000000000000e+03 3.653359786007612087e+01
2.017666666666666742e+03 3.692813288711005981e+01
2.017916666666666742e+03 3.713593703236350052e+01
2.018166666666666742e+03 3.717679222533391936e+01
2.018916666666666742e+03 3.699484173742639115e+01
2.019000000000000000e+03 3.714396881820353968e+01
2.019166666666666742e+03 3.649952674849853906e+01
2.019333333333333258e+03 3.795752136015535427e+01
2.019416666666666742e+03 4.786162371141002581e+01
2.019500000000000000e+03 4.711649342683831776e+01
2.019666666666666742e+03 4.641876542935541750e+01
2.020916666666666742e+03 nan
2.022166666666666742e+03 4.668712230526785589e+01
2.022333333333333258e+03 4.786580150912131160e+01
2.022500000000000000e+03 4.807664090570811766e+01
2.022666666666666742e+03 4.936686223097495230e+01
2.022833333333333258e+03 4.913875496837837176e+01
2.022916666666666742e+03 4.930076554312331183e+01
2.023083333333333258e+03 4.926396391130923291e+01
2.023166666666666742e+03 5.143218255233049518e+01
2.023333333333333258e+03 5.144352522497140257e+01
2.023416666666666742e+03 5.237238517707864105e+01
2.023500000000000000e+03 5.232782749355357055e+01
2.023666666666666742e+03 6.670430556885290230e+01
2.023833333333333258e+03 6.401326014707700551e+01
2.023916666666666742e+03 6.476101063390710522e+01
2.024000000000000000e+03 6.669334587103200818e+01
2.024166666666666742e+03 6.925629992416126868e+01
2.024333333333333258e+03 6.959860659120118953e+01
2.024416666666666742e+03 7.017484666636258339e+01
2.024500000000000000e+03 8.658405295795159873e+01
2.024666666666666742e+03 8.079913856744485656e+01
2.024833333333333258e+03 8.076889949326957208e+01
2.024916666666666742e+03 8.420516955474052168e+01
2.025166666666666742e+03 8.466830944783160362e+01
2.025416666666666742e+03 8.584569142232848549e+01
2.025500000000000000e+03 8.495795403761238163e+01
2.025666666666666742e+03 8.530065936146179695e+01
2.025750000000000000e+03 8.113322914304713152e+01
2.025916666666666742e+03 8.098176831826991418e+01
2.026166666666666742e+03 8.172631706388193606e+01
2.026250000000000000e+03 8.169281173109419569e+01
