t,start,end,angle,span_years
2001.583333,1994.083333,2001.583333,45.797052,7.500000
2001.750000,1994.166667,2001.750000,47.998112,7.583333
2001.833333,1994.333333,2001.833333,44.711839,7.500000
2001.916667,1994.583333,2001.916667,42.965411,7.333333
2002.000000,1994.666667,2002.000000,41.333688,7.333333
2002.166667,1994.833333,2002.166667,40.038565,7.333333
2002.333333,1995.083333,2002.333333,38.679661,7.250000
2002.583333,1995.166667,2002.583333,42.375705,7.416667
2002.833333,1995.333333,2002.833333,44.101883,7.500000
2003.000000,1995.500000,2003.000000,44.103248,7.500000
2003.333333,1995.583333,2003.333333,46.865701,7.750000
2003.416667,1995.666667,2003.416667,43.811465,7.750000
2003.583333,1995.833333,2003.583333,43.960596,7.750000
2003.750000,1995.916667,2003.750000,44.727888,7.833333
2004.000000,1996.000000,2004.000000,45.974048,8.000000
2004.166667,1996.166667,2004.166667,46.264121,8.000000
2004.416667,1996.500000,2004.416667,46.549401,7.916667
2004.583333,1996.666667,2004.583333,45.934087,7.916667
2004.666667,1996.833333,2004.666667,47.390106,7.833333
2004.833333,1997.166667,2004.833333,47.451204,7.666667
2004.916667,1997.333333,2004.916667,48.296235,7.583333
2005.166667,1997.833333,2005.166667,49.009906,7.333333
2005.333333,1998.083333,2005.333333,49.128963,7.250000
2005.416667,1998.500000,2005.416667,49.528292,6.916667
2005.583333,1998.833333,2005.583333,49.404550,6.750000
2005.666667,1999.166667,2005.666667,47.584014,6.500000
2005.833333,1999.333333,2005.833333,47.589927,6.500000
2005.916667,1999.416667,2005.916667,46.363978,6.500000
2006.000000,1999.750000,2006.000000,46.962853,6.250000
2006.166667,1999.833333,2006.166667,44.616007,6.333333
2006.333333,1999.916667,2006.333333,45.950767,6.416667
2006.416667,2000.333333,2006.416667,45.580407,6.083333
2006.583333,2000.416667,2006.583333,46.213607,6.166667
2006.666667,2000.583333,2006.666667,46.319208,6.083333
2006.916667,2000.750000,2006.916667,46.244262,6.166667
2007.166667,2000.916667,2007.166667,46.428184,6.250000
2007.333333,2001.166667,2007.333333,46.741634,6.166667
2007.666667,2001.333333,2007.666667,40.030255,6.333333
2007.750000,2001.416667,2007.750000,42.636686,6.333333
2007.916667,2001.583333,2007.916667,43.264765,6.333333
2008.166667,2001.750000,2008.166667,42.030298,6.416667
2008.250000,2001.833333,2008.250000,41.714860,6.416667
2008.416667,2001.916667,2008.416667,45.342839,6.500000
2008.583333,2002.000000,2008.583333,44.964034,6.583333
2008.666667,2002.166667,2008.666667,42.929542,6.500000
2015.916667,2002.333333,2015.916667,42.642081,13.583333
2016.000000,2002.583333,2016.000000,42.572313,13.416667
2016.166667,2002.833333,2016.166667,40.622269,13.333333
2016.416667,2003.000000,2016.416667,39.598585,13.416667
2016.666667,2003.333333,2016.666667,39.262409,13.333333
2016.916667,2003.416667,2016.916667,36.899712,13.500000
2017.083333,2003.583333,2017.083333,39.914733,13.500000
2017.166667,2003.750000,2017.166667,40.376084,13.416667
2017.333333,2004.000000,2017.333333,39.554629,13.333333
2017.416667,2004.166667,2017.416667,36.985014,13.250000
2017.500000,2004.416667,2017.500000,36.533598,13.083333
2017.666667,2004.583333,2017.666667,36.928133,13.083333
2017.916667,2004.666667,2017.916667,37.135937,13.250000
2018.166667,2004.833333,2018.166667,37.176792,13.333333
2018.916667,2004.916667,2018.916667,36.994842,14.000000
2019.000000,2005.166667,2019.000000,37.143969,13.833333
2019.166667,2005.333333,2019.166667,36.499527,13.833333
2019.333333,2005.416667,2019.333333,37.957521,13.916667
2019.416667,2005.583333,2019.416667,47.861624,13.833333
2019.500000,2005.666667,2019.500000,47.116493,13.833333
2019.666667,2005.833333,2019.666667,46.418765,13.833333
2022.166667,2005.916667,2022.166667,46.687122,16.250000
2022.333333,2006.000000,2022.333333,47.865802,16.333333
2022.500000,2006.166667,2022.500000,48.076641,16.333333
2022.666667,2006.333333,2022.666667,49.366862,16.333333
2022.833333,2006.416667,2022.833333,49.138755,16.416667
2022.916667,2006.583333,2022.916667,49.300766,16.333333
2023.083333,2006.666667,2023.083333,49.263964,16.416667
2023.166667,2006.916667,2023.166667,51.432183,16.250000
2023.333333,2007.166667,2023.333333,51.443525,16.166667
2023.416667,2007.333333,2023.416667,52.372385,16.083333
2023.500000,2007.666667,2023.500000,52.327827,15.833333
2023.666667,2007.750000,2023.666667,66.704306,15.916667
2023.833333,2007.916667,2023.833333,64.013260,15.916667
2023.916667,2008.166667,2023.916667,64.761011,15.750000
2024.000000,2008.250000,2024.000000,66.693346,15.750000
2024.166667,2008.416667,2024.166667,69.256300,15.750000
2024.333333,2008.583333,2024.333333,69.598607,15.750000
2024.416667,2008.666667,2024.416667,70.174847,15.750000
2024.500000,2015.916667,2024.500000,86.584053,8.583333
2024.666667,2016.000000,2024.666667,80.799139,8.666667
2024.833333,2016.166667,2024.833333,80.768899,8.666667
2024.916667,2016.416667,2024.916667,84.205170,8.500000
2025.166667,2016.666667,2025.166667,84.668309,8.500000
2025.416667,2016.916667,2025.416667,85.845691,8.500000
2025.500000,2017.083333,2025.500000,84.957954,8.416667
2025.666667,2017.166667,2025.666667,85.300659,8.500000
2025.750000,2017.333333,2025.750000,81.133229,8.416667
2025.916667,2017.416667,2025.916667,80.981768,8.500000
2026.166667,2017.500000,2026.166667,81.726317,8.666667
2026.250000,2017.666667,2026.250000,81.692812,8.583333
