t angle
2.001166666666666742e+03 4.682497304998461374e+01
2.001250000000000000e+03 3.567307394363439954e+01
2.001333333333333258e+03 3.543481462570550633e+01
2.001416666666666742e+03 3.575483693455612411e+01
2.001583333333333258e+03 3.467381642174717626e+01
2.001750000000000000e+03 3.409598473081552328e+01
2.001833333333333258e+03 3.252267022999077994e+01
2.001916666666666742e+03 3.349187451529509474e+01
2.002000000000000000e+03 3.339795047725696264e+01
2.002166666666666742e+03 3.378252180233715762e+01
2.002333333333333258e+03 3.404806956300961218e+01
2.002583333333333258e+03 3.650702506955695981e+01
2.002833333333333258e+03 3.677660759664353662e+01
2.003000000000000000e+03 3.697692566189283525e+01
2.003333333333333258e+03 3.919435502021573825e+01
2.003416666666666742e+03 3.773643979617889244e+01
2.003583333333333258e+03 3.807889422838773896e+01
2.003750000000000000e+03 3.955572928978945413e+01
2.004000000000000000e+03 4.302261638232267416e+01
2.004166666666666742e+03 4.381457176603001358e+01
2.004416666666666742e+03 4.381297684247883950e+01
2.004583333333333258e+03 4.416963037743347087e+01
2.004666666666666742e+03 4.399951432465859114e+01
2.004833333333333258e+03 4.401469419828601559e+01
2.004916666666666742e+03 4.417713371692574498e+01
2.005166666666666742e+03 4.664058060119167948e+01
2.005333333333333258e+03 4.655940054369430925e+01
2.005416666666666742e+03 4.669694794065665633e+01
2.005583333333333258e+03 4.506100867238524899e+01
2.005666666666666742e+03 4.498227590759798744e+01
2.005833333333333258e+03 4.381327777450856331e+01
2.005916666666666742e+03 4.440795403110730177e+01
2.006000000000000000e+03 4.404461696126282533e+01
2.006166666666666742e+03 4.461276536379489244e+01
2.006333333333333258e+03 4.472526836518184723e+01
2.006416666666666742e+03 4.466259747194644802e+01
2.006583333333333258e+03 4.454831951780548138e+01
2.006666666666666742e+03 4.473214778609242614e+01
2.006916666666666742e+03 4.398038628171379116e+01
2.007166666666666742e+03 4.427499595300080415e+01
2.007333333333333258e+03 4.367686003351034429e+01
2.007583333333333258e+03 6.080747863571504297e+01
2.007583333333333258e+03 6.413262282957255422e+01
2.007666666666666742e+03 6.097672863841103919e+01
2.007750000000000000e+03 6.117207698730884147e+01
2.007916666666666742e+03 6.200803011171108636e+01
2.008000000000000000e+03 7.172256245536787844e+01
2.008000000000000000e+03 7.006557145607720827e+01
2.008166666666666742e+03 6.847049370147290404e+01
2.008166666666666742e+03 6.887846846678743873e+01
2.008250000000000000e+03 6.826500921182619663e+01
2.008416666666666742e+03 6.536787075905307631e+01
2.008583333333333258e+03 6.756052747312149620e+01
2.008666666666666742e+03 6.390530056968412964e+01
2.008750000000000000e+03 6.193101858468146048e+01
2.008750000000000000e+03 6.419758345378039621e+01
2.012333333333333485e+03 nan
2.015916666666666742e+03 6.346014834259260340e+01
2.016000000000000000e+03 6.198450446537710690e+01
2.016166666666666742e+03 5.916978208420464824e+01
2.016416666666666742e+03 5.787202767004691140e+01
2.016666666666666742e+03 5.755307281640241257e+01
2.016916666666666742e+03 5.872591706574436898e+01
2.017083333333333258e+03 5.849838561589820785e+01
2.017166666666666742e+03 5.960544403594976615e+01
2.017333333333333258e+03 5.939221379083857499e+01
2.017416666666666742e+03 5.822229283939376643e+01
2.017500000000000000e+03 5.826512869034070263e+01
2.017666666666666742e+03 5.865434111307749276e+01
2.017916666666666742e+03 5.870325188973805552e+01
2.018166666666666742e+03 5.903084814099226918e+01
2.018916666666666742e+03 5.964048448754589060e+01
2.019000000000000000e+03 6.004136422328678435e+01
2.019166666666666742e+03 6.083689091484679778e+01
2.019333333333333258e+03 6.138284559689249420e+01
2.019416666666666742e+03 6.772533675085261962e+01
2.019500000000000000e+03 6.651133078149779010e+01
2.019666666666666742e+03 6.586965810335503591e+01
2.020916666666666742e+03 nan
2.022166666666666742e+03 6.630062139159116441e+01
2.022333333333333258e+03 6.543386047305300224e+01
2.022416666666666742e+03 6.802959622233146320e+01
2.022500000000000000e+03 6.788154582826734895e+01
2.022666666666666742e+03 6.858287717551560547e+01
2.022833333333333258e+03 6.915169670855688366e+01
2.022916666666666742e+03 7.590057915210810791e+01
2.023083333333333258e+03 7.500909167065972838e+01
2.023166666666666742e+03 7.841966439698741453e+01
2.023333333333333258e+03 7.466628487595019692e+01
2.023416666666666742e+03 7.760166246549799496e+01
2.023500000000000000e+03 8.029084167869142163e+01
2.023666666666666742e+03 8.113095171000071559e+01
2.023833333333333258e+03 8.084580808876572178e+01
2.023916666666666742e+03 8.162858854339006598e+01
2.024000000000000000e+03 8.171700338277074138e+01
2.024166666666666742e+03 9.288975481562174252e+01
2.024333333333333258e+03 9.262812426155142020e+01
2.024416666666666742e+03 9.368938998589639766e+01
2.024500000000000000e+03 9.486767590963195573e+01
2.024666666666666742e+03 9.390691829448660144e+01
2.024833333333333258e+03 9.590251921295639193e+01
2.024916666666666742e+03 9.666873946232281867e+01
2.025166666666666742e+03 9.771704296940460210e+01
2.025416666666666742e+03 9.743161037846923023e+01
2.025500000000000000e+03 9.713241616815750490e+01
2.025666666666666742e+03 9.681102466330939649e+01
2.025750000000000000e+03 9.473970359267643460e+01
2.025916666666666742e+03 9.569690314314300394e+01
2.026166666666666742e+03 9.540965549955789982e+01
2.026250000000000000e+03 9.503562131736541119e+01
2.026416666666666742e+03 9.409785789702128511e+01
2.026500000000000000e+03 9.171614922022340011e+01
