t,start,end,angle,span_years
2001.166667,1994.083333,2001.166667,46.824973,7.083333
2001.250000,1994.166667,2001.250000,35.673074,7.083333
2001.333333,1994.250000,2001.333333,35.434815,7.083333
2001.416667,1994.333333,2001.416667,35.754837,7.083333
2001.583333,1994.583333,2001.583333,34.673816,7.000000
2001.750000,1994.666667,2001.750000,34.095985,7.083333
2001.833333,1994.833333,2001.833333,32.522670,7.000000
2001.916667,1995.083333,2001.916667,33.491875,6.833333
2002.000000,1995.166667,2002.000000,33.397950,6.833333
2002.166667,1995.333333,2002.166667,33.782522,6.833333
2002.333333,1995.500000,2002.333333,34.048070,6.833333
2002.583333,1995.583333,2002.583333,36.507025,7.000000
2002.833333,1995.666667,2002.833333,36.776608,7.166667
2003.000000,1995.833333,2003.000000,36.976926,7.166667
2003.333333,1995.916667,2003.333333,39.194355,7.416667
2003.416667,1996.000000,2003.416667,37.736440,7.416667
2003.583333,1996.166667,2003.583333,38.078894,7.416667
2003.750000,1996.500000,2003.750000,39.555729,7.250000
2004.000000,1996.666667,2004.000000,43.022616,7.333333
2004.166667,1996.833333,2004.166667,43.814572,7.333333
2004.416667,1997.166667,2004.416667,43.812977,7.250000
2004.583333,1997.333333,2004.583333,44.169630,7.250000
2004.666667,1997.833333,2004.666667,43.999514,6.833333
2004.833333,1998.083333,2004.833333,44.014694,6.750000
2004.916667,1998.750000,2004.916667,44.177134,6.166667
2005.166667,1998.833333,2005.166667,46.640581,6.333333
2005.333333,1999.166667,2005.333333,46.559401,6.166667
2005.416667,1999.333333,2005.416667,46.696948,6.083333
2005.583333,1999.416667,2005.583333,45.061009,6.166667
2005.666667,1999.750000,2005.666667,44.982276,5.916667
2005.833333,1999.833333,2005.833333,43.813278,6.000000
2005.916667,1999.916667,2005.916667,44.407954,6.000000
2006.000000,2000.333333,2006.000000,44.044617,5.666667
2006.166667,2000.416667,2006.166667,44.612765,5.750000
2006.333333,2000.583333,2006.333333,44.725268,5.750000
2006.416667,2000.750000,2006.416667,44.662597,5.666667
2006.583333,2000.916667,2006.583333,44.548320,5.666667
2006.666667,2001.000000,2006.666667,44.732148,5.666667
2006.916667,2001.000000,2006.916667,43.980386,5.916667
2007.166667,2001.166667,2007.166667,44.274996,6.000000
2007.333333,2001.250000,2007.333333,43.676860,6.083333
2007.583333,2001.333333,2007.583333,60.807479,6.250000
2007.583333,2001.416667,2007.583333,64.132623,6.166667
2007.666667,2001.583333,2007.666667,60.976729,6.083333
2007.750000,2001.750000,2007.750000,61.172077,6.000000
2007.916667,2001.833333,2007.916667,62.008030,6.083333
2008.000000,2001.916667,2008.000000,71.722562,6.083333
2008.000000,2002.000000,2008.000000,70.065571,6.000000
2008.166667,2002.166667,2008.166667,68.470494,6.000000
2008.166667,2002.333333,2008.166667,68.878468,5.833333
2008.250000,2002.583333,2008.250000,68.265009,5.666667
2008.416667,2002.833333,2008.416667,65.367871,5.583333
2008.583333,2003.000000,2008.583333,67.560527,5.583333
2008.666667,2003.333333,2008.666667,63.905301,5.333333
2008.750000,2003.416667,2008.750000,61.931019,5.333333
