t,q_scalar,q_factors,percent,ratio_factors_scalar
-0.04,0.00026445447,0.002677424,-6.153846154,10.12432877
-0.03,0.00014441813,0.0015071337,-4.615384615,10.43590372
-0.02,6.0977256e-05,0.0006697347,-3.076923077,10.98335255
-0.01,1.3794093e-05,0.00016729837,-1.538461538,12.12826171
-0.005,3.3651519e-06,4.1798615e-05,-0.7692307692,12.4210188
0.005,3.3487908e-06,4.1729611e-05,0.7692307692,12.4610982
0.01,1.3352537e-05,0.0001667472,1.538461538,12.48805377
0.02,5.3014682e-05,0.00066536029,3.076923077,12.55049101
0.03,0.00012048852,0.001492662,4.615384615,12.38841676
0.04,0.00021795804,0.0026446639,6.153846154,12.13382126
